username,platform,followers,following,total_posts,avg_likes,avg_comments,avg_views,verified,niche,hypeauditor_score
fitness_rohit,Instagram,450000,312,890,1200,18,85000,no,fitness,42
shraddha_fit,Instagram,1200000,180,1450,28000,890,320000,yes,fitness,81
virat_gains,Instagram,89000,4200,230,450,8,12000,no,fitness,31
priya_wellness,Instagram,320000,890,670,9500,420,145000,no,fitness,74
muscleking_delhi,Instagram,78000,12000,180,320,4,8500,no,fitness,22
ananya_yoga,Instagram,560000,290,1100,15200,680,210000,yes,fitness,78
fitboy_mumbai,Instagram,95000,8900,340,280,3,7200,no,fitness,18
nutritionist_neha,Instagram,210000,450,780,6800,310,98000,no,fitness,72
gymrat_puneet,Instagram,145000,6700,420,580,9,22000,no,fitness,35
crossfit_kavya,Instagram,380000,210,560,12400,520,178000,no,fitness,76
fattofit_ravi,Instagram,67000,3400,290,890,45,18000,no,fitness,68
drseema_nutrition,Instagram,890000,320,1890,22000,980,410000,yes,fitness,85
zumba_zara,Instagram,44000,5600,120,180,2,4500,no,fitness,15
strong_sunita,Instagram,720000,410,1230,19500,760,290000,yes,fitness,79
beefcake_bunty,Instagram,55000,9800,200,210,3,5800,no,fitness,20
pilates_pooja,Instagram,180000,380,640,5400,240,87000,no,fitness,70
yogalife_arjun,Instagram,930000,260,2100,24500,1100,450000,yes,fitness,88
cardio_chitra,Instagram,36000,4100,150,140,1,3200,no,fitness,12
healthhub_hemant,Instagram,490000,340,870,13200,590,195000,no,fitness,75
flexfuture_farhan,Instagram,112000,7200,380,430,6,14000,no,fitness,28
